Experimento,NSE t+0,NSE t+7,KGE t+7,PBIAS t+7 (%),NSE 2008,NSE 2011,Pico sim 2011
Baseline,0.2579886317253113,0.11912059783935547,0.06783311410569626,-8.60395622253418,-1.104743242263794,-0.6065881252288818,641.9537353515625
+ lag features,0.35252833366394043,0.46686214208602905,0.5026185400797227,-11.265251159667969,0.04609435796737671,0.07974141836166382,727.9894409179688
+ NSELoss,0.35657352209091187,0.47417330741882324,0.5132823786121071,-11.587347030639648,0.06100177764892578,0.1202283501625061,737.15478515625
+ seq 30d,0.2749825716018677,0.33188945055007935,0.4267076398031996,-4.2459869384765625,0.2284688949584961,-0.0506364107131958,676.4443359375
+ ERA5 statics,0.34991174936294556,0.4688202738761902,0.5059201616865445,-5.33092737197876,0.029152095317840576,0.1475793719291687,804.617919921875
